2021-12-12_16:30:56,22.70,51.80
2021-12-12_16:31:26,22.70,52.10
2021-12-12_16:31:56,22.70,52.20
2021-12-12_16:32:26,22.70,52.40
2021-12-12_16:32:56,22.70,52.20
2021-12-12_16:33:26,22.70,52.60
2021-12-12_16:33:56,22.70,52.40
2021-12-12_16:34:26,22.70,52.60
2021-12-12_16:34:56,22.70,52.60
2021-12-12_16:35:26,22.70,53.10
2021-12-12_16:35:56,22.70,52.80
2021-12-12_16:36:26,22.70,53.20
2021-12-12_16:36:56,22.70,53.00
2021-12-12_16:37:26,22.70,53.10
2021-12-12_16:37:56,22.70,52.80
2021-12-12_16:38:26,22.70,53.70
2021-12-12_16:38:56,22.70,53.70
2021-12-12_16:39:26,22.70,53.80
2021-12-12_16:39:56,22.80,53.90
2021-12-12_16:40:26,22.70,54.00
2021-12-12_16:40:56,22.80,54.00
2021-12-12_16:41:26,22.70,53.90
2021-12-12_16:41:56,22.70,53.90
2021-12-12_16:42:26,22.80,53.20
2021-12-12_16:42:56,22.70,54.20
2021-12-12_16:43:26,22.80,54.70
2021-12-12_16:43:56,22.80,54.90
2021-12-12_16:44:26,22.80,54.10
2021-12-12_16:44:56,22.80,54.40
2021-12-12_16:45:26,22.80,54.60
2021-12-12_16:45:56,22.80,53.60
2021-12-12_16:46:26,22.80,53.70
2021-12-12_16:46:56,22.80,54.10
2021-12-12_16:47:26,22.80,53.70
2021-12-12_16:47:56,22.80,53.90
2021-12-12_16:48:26,22.80,53.80
2021-12-12_16:48:56,22.80,54.00
2021-12-12_16:49:26,22.80,53.30
2021-12-12_16:49:56,22.80,53.40
2021-12-12_16:50:26,22.80,53.00
2021-12-12_16:50:56,22.80,53.80
2021-12-12_16:51:26,22.80,53.30
2021-12-12_16:51:56,22.80,53.10
2021-12-12_16:52:26,22.80,53.60
2021-12-12_16:52:56,22.80,53.70
2021-12-12_16:53:26,22.80,54.00
2021-12-12_16:53:56,22.80,54.40
2021-12-12_16:54:26,22.80,54.00
2021-12-12_16:54:56,22.80,54.00
2021-12-12_16:55:26,22.80,53.70
2021-12-12_16:55:56,22.80,53.50
2021-12-12_16:56:26,22.90,53.70
2021-12-12_16:56:56,22.80,54.60
2021-12-12_16:57:26,22.80,54.60
2021-12-12_16:57:56,22.90,54.70
2021-12-12_16:58:26,22.90,55.70
2021-12-12_16:58:56,22.80,55.60
2021-12-12_16:59:26,22.80,54.90
2021-12-12_16:59:56,22.90,55.20
2021-12-12_17:00:26,22.80,55.40
2021-12-12_17:00:56,22.90,55.30
2021-12-12_17:01:26,22.80,55.10
2021-12-12_17:01:56,22.80,54.80
2021-12-12_17:02:26,22.90,55.30
2021-12-12_17:02:56,22.90,54.20
2021-12-12_17:03:26,22.90,55.00
2021-12-12_17:03:56,22.90,55.10
2021-12-12_17:04:26,22.90,54.80
2021-12-12_17:04:56,22.90,54.70
2021-12-12_17:05:26,22.90,54.70
2021-12-12_17:05:56,22.90,54.70
2021-12-12_17:06:26,22.90,54.60
2021-12-12_17:06:56,22.90,54.90
2021-12-12_17:07:26,22.90,54.40
2021-12-12_17:07:56,22.90,54.40
2021-12-12_17:08:26,22.90,54.00
2021-12-12_17:08:56,22.90,54.40
2021-12-12_17:09:26,22.90,54.00
2021-12-12_17:09:56,22.90,54.00
2021-12-12_17:10:26,22.90,53.90
2021-12-12_17:10:56,22.90,53.90
2021-12-12_17:11:26,22.90,54.00
2021-12-12_17:11:56,22.90,53.70
2021-12-12_17:12:26,22.90,53.90
